age_group,gender,region,edu_level,employment,personal_income_usd,online_buy_freq,monthly_spend_usd,fav_product_types,brand_loyalty,sub_box_past,seek_features,purchase_pain,social_influence,app_usage,data_share_ok,push_notif_ok,sub_likelihood,budget_per_box,pay_freq_pref,refer_friend,value_personalized
3,Male,Europe,High school,Full-time,13055,4,58.22,Haircare,4,Yes,Premium/luxury,"Allergies, Hard to match shades, Unsure of quality",4,3,Yes,No,3,28.45,Monthly,4,5
6,Female,North America,Bachelor,Full-time,111635,2,54.21,"Make-up, Tools/Accessories, Skincare",3,No,"Premium/luxury, Dermatologist-tested, Cruelty-free",Allergies,2,2,Yes,No,3,30.2,Quarterly,4,4
4,Female,Europe,High school,Unemployed / Other,30570,2,28.25,"Make-up, Men’s Grooming",4,No,"Fragrance-free, Premium/luxury","Unsure of quality, Delivery issues, Too many options",2,2,No,Yes,3,15.38,Quarterly,3,5
3,Female,Europe,High school,Full-time,35557,5,110.87,"Men’s Grooming, Tools/Accessories, Fragrance",2,Yes,"Cruelty-free, Dermatologist-tested, Sustainable packaging","Allergies, Delivery issues, Hard to match shades",3,3,Yes,Yes,3,49.98,Monthly,5,2
2,Female,Asia-Pacific,High school,Self-employed,13349,5,64.1,Tools/Accessories,4,Yes,"Dermatologist-tested, Cruelty-free, Sustainable packaging","Allergies, Delivery issues",4,3,Yes,Yes,3,29.92,Monthly,4,3
2,Male,Asia-Pacific,High school,Part-time,20163,5,41.84,"Make-up, Tools/Accessories, Skincare",4,Yes,Fragrance-free,"Delivery issues, Hard to match shades, High prices",2,3,Yes,Yes,4,20.52,Quarterly,2,3
2,Female,Europe,Master,Full-time,10017,5,42.37,"Skincare, Make-up, Haircare",3,No,Dermatologist-tested,"Delivery issues, Allergies, Too many options",4,2,Yes,Yes,3,30.18,Monthly,3,5
5,Female,North America,High school,Unemployed / Other,34408,1,49.39,Haircare,5,No,"Vegan, Premium/luxury",Hard to match shades,3,1,Yes,Yes,3,18.05,Monthly,5,4
4,Female,Africa,Master,Full-time,34260,2,27.01,"Tools/Accessories, Skincare",4,No,Premium/luxury,Delivery issues,3,2,Yes,Yes,3,14.97,Quarterly,5,1
4,Prefer not to say,MENA,Doctorate+,Self-employed,33867,5,46.36,"Tools/Accessories, Fragrance, Men’s Grooming",4,Yes,"Sustainable packaging, Cruelty-free","Too many options, Hard to match shades, Delivery issues",3,4,Yes,Yes,4,15.65,Quarterly,3,4
